Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
A.J. Green,4.4,23.5,0.374,0.6,1.2,0.2,0.0,0.4,Bench Player
A.J. Lawson,3.2,23.0,0.462,0.5,1.2,0.2,0.1,0.3,Bench Player
AJ Griffin,5.6,19.5,0.42,0.6,1.5,0.4,0.2,0.3,Role Player
Aaron Gordon,15.1,27.0,0.446,3.0,6.3,0.7,0.7,0.3,Role Player
Aaron Holiday,5.9,25.6,0.404,2.2,1.8,0.6,0.1,0.4,Role Player
Aaron Nesmith,8.7,23.0,0.388,1.1,3.1,0.7,0.4,0.4,Role Player
Aaron Wiggins,7.3,24.0,0.36,1.2,3.0,0.6,0.2,0.4,Role Player
Admiral Schofield,3.0,25.0,0.338,0.6,1.6,0.1,0.1,0.3,Bench Player
Al Horford,9.5,36.0,0.292,3.0,6.8,0.6,1.1,0.4,Role Player
Alec Burks,10.8,31.4,0.518,1.8,2.9,0.6,0.2,0.4,Role Player
Aleksej Pokusevski,7.0,21.0,0.439,1.8,4.4,0.6,0.8,0.3,Role Player
Alex Caruso,7.7,28.0,0.296,3.5,3.4,1.6,0.7,0.4,Defensive Specialist
Alex Len,3.4,29.0,0.356,0.9,3.0,0.2,0.6,0.1,Bench Player
Alize Johnson,1.8,25.0,0.332,0.4,2.7,0.2,0.0,0.0,Bench Player
Alperen Sengun,21.1,21.0,0.636,5.0,9.3,1.2,0.7,0.3,Role Player
Alperen Þengün,12.2,19.5,0.518,3.2,7.2,0.8,0.9,0.3,Role Player
Amen Thompson,9.5,21.0,0.438,2.6,6.6,1.3,0.6,0.1,Role Player
Amir Coffey,6.3,25.0,0.319,1.3,2.0,0.4,0.2,0.3,Role Player
Andre Drummond,8.0,28.6,0.459,1.2,8.8,0.9,0.8,0.0,Role Player
Andre Iguodala,4.0,38.0,0.26,3.7,3.2,0.9,0.7,0.2,Bench Player
Andre Jackson Jr.,2.2,22.0,0.239,0.9,2.0,0.3,0.1,0.4,Bench Player
Andrew Nembhard,9.4,23.5,0.386,4.3,2.4,0.9,0.2,0.4,Role Player
Andrew Wiggins,15.8,27.0,0.511,2.1,4.7,0.9,0.7,0.4,Role Player
Anfernee Simons,20.3,23.0,0.605,4.5,2.9,0.6,0.1,0.4,Role Player
