ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
1;A.J. Green;24.0;6.0;0.0;11.2;1.0;2.7;0.4;0.3;1.8;0.2;0.7;0.8;0.8;0.4;0.5;0.5;1.0;0.0;1.5;1.5;0.3;0.0;0.0;0.2;1.5;2.8;SG;0.321;0.5;0.179;0.25;0.027;0.134;0.0;0.0;1.5;0.25;1.037;0.185;0.279;2.7
2;A.J. Lawson;23.0;10.0;0.0;3.0;0.4;0.9;0.4;0.2;0.6;0.3;0.2;0.3;0.7;0.6;0.1;0.2;0.5;0.1;0.2;0.3;0.0;0.0;0.1;1.0;0.1;1.1;SG;0.545;0.364;0.091;0.367;0.0;0.1;0.0;0.033;0.0;0.03;1.222;0.222;0.663;-0.1
3;Aaron Gordon;27.0;12.3;12.3;34.9;5.2;10.1;0.5;0.8;2.5;0.3;4.3;7.6;0.6;0.5;2.7;3.8;0.7;3.0;3.8;6.8;3.2;0.6;0.8;1.4;2.7;13.8;PF;0.174;0.623;0.196;0.395;0.092;0.195;0.017;0.023;2.286;0.553;1.366;0.376;0.377;17.8
4;Aaron Holiday;25.5;3.5;0.0;3.6;0.6;1.2;0.3;0.4;0.6;0.4;0.2;0.6;0.2;0.4;0.0;0.1;0.0;0.2;0.0;0.2;1.2;0.2;0.1;0.5;0.1;1.8;PG;0.667;0.222;0.0;0.5;0.333;0.056;0.056;0.028;2.4;0.057;1.5;0.083;0.484;2.3
5;Aaron Nesmith;23.0;16.0;8.5;18.2;2.0;4.7;0.3;0.7;2.6;0.2;1.2;2.0;0.6;0.4;1.1;1.2;0.8;0.7;2.2;3.0;1.2;0.4;0.4;0.8;2.2;5.6;SF;0.375;0.429;0.196;0.308;0.066;0.165;0.022;0.022;1.5;0.181;1.191;0.255;0.331;6.9
6;Aaron Wiggins;25.0;10.0;0.0;15.7;2.3;4.7;0.5;0.6;2.0;0.3;1.7;2.7;0.6;0.6;1.0;1.1;0.9;0.9;2.3;3.2;1.0;0.6;0.3;0.9;0.8;6.2;SG;0.29;0.548;0.161;0.395;0.064;0.204;0.038;0.019;1.111;0.32;1.319;0.234;0.388;7.9
7;Al Horford;36.0;20.7;19.3;32.2;3.5;7.4;0.5;1.7;4.7;0.4;1.7;2.8;0.6;0.6;0.6;0.8;0.7;1.6;6.2;7.8;2.8;0.9;1.3;0.8;2.2;9.3;C;0.548;0.366;0.065;0.289;0.087;0.242;0.028;0.04;3.5;0.377;1.257;0.108;0.266;17.2
8;Alec Burks;32.0;6.0;0.0;20.2;4.2;8.3;0.5;2.0;4.7;0.4;2.2;3.7;0.6;0.6;4.5;5.3;0.8;0.7;2.7;3.3;1.0;0.2;0.2;1.0;1.0;14.8;SG;0.405;0.297;0.304;0.733;0.05;0.163;0.01;0.01;1.0;0.567;1.783;0.639;0.576;13.7
9;Alex Caruso;27.0;4.0;4.0;28.3;2.3;5.8;0.4;1.8;4.5;0.4;0.5;1.3;0.4;0.5;0.0;0.0;0.0;0.5;2.3;2.8;4.3;1.3;1.0;0.3;2.8;6.3;SG;0.857;0.159;0.0;0.223;0.152;0.099;0.046;0.035;14.333;0.7;1.086;0.0;0.216;11.9
10;Alex Len;29.0;7.0;0.0;7.7;1.0;1.3;0.8;0.0;0.0;0.0;1.0;1.3;0.8;0.8;0.7;0.9;0.8;1.0;1.9;2.9;0.1;0.0;0.4;1.0;2.1;2.7;C;0.0;0.741;0.259;0.351;0.013;0.377;0.0;0.052;0.1;0.414;2.077;0.692;0.35;4.6
11;Amir Coffey;25.5;3.5;1.5;9.8;0.6;1.8;0.2;0.2;0.9;0.1;0.4;0.9;0.2;0.2;0.0;0.0;0.0;0.2;0.6;0.8;0.2;0.2;0.1;0.4;0.5;1.4;SF;0.429;0.571;0.0;0.143;0.02;0.082;0.02;0.01;0.5;0.229;0.778;0.0;0.224;1.1
12;Andre Drummond;28.0;4.0;4.0;15.0;1.5;2.8;0.5;0.0;0.0;0.0;1.5;2.8;0.5;0.5;0.8;1.3;0.6;0.8;2.3;3.0;0.8;1.3;0.8;1.5;3.0;3.8;C;0.0;0.789;0.211;0.253;0.053;0.2;0.087;0.053;0.533;0.775;1.357;0.464;0.325;6.5
13;Andre Iguodala;38.0;7.0;0.0;8.7;0.6;1.3;0.4;0.1;0.4;0.3;0.4;0.9;0.5;0.5;0.3;0.4;0.7;0.4;0.6;1.0;1.7;0.0;0.3;0.6;1.6;1.6;SF;0.188;0.5;0.187;0.184;0.195;0.115;0.0;0.034;2.833;0.143;1.231;0.308;0.239;3.2
14;Andre Jackson Jr.;22.0;5.0;0.0;12.0;1.0;2.2;0.5;0.4;1.2;0.3;0.6;1.0;0.6;0.5;0.0;0.0;0.0;1.0;1.2;2.2;2.0;1.0;0.2;0.6;2.0;2.4;SG;0.5;0.5;0.0;0.2;0.167;0.183;0.083;0.017;3.333;0.44;1.091;0.0;0.233;6.0
