ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
1;A.J. Green;23.5;45.5;0.5;10.4;1.5;3.6;0.4;1.2;3.0;0.4;0.3;0.6;0.5;0.6;0.2;0.2;0.9;0.2;1.0;1.2;0.6;0.2;0.0;0.2;0.9;4.4;SG;0.818;0.136;0.045;0.423;0.058;0.115;0.019;0.0;3.0;0.026;1.222;0.056;0.374;4.1
2;A.J. Lawson;23.0;42.0;0.0;7.4;1.3;2.9;0.4;0.3;1.2;0.3;1.0;1.7;0.6;0.5;0.4;0.5;0.7;0.3;0.9;1.2;0.5;0.2;0.1;0.3;0.5;3.2;SG;0.281;0.625;0.125;0.432;0.068;0.162;0.027;0.014;1.667;0.029;1.103;0.172;0.462;3.2
3;AJ Griffin;19.5;46.0;6.0;14.0;2.2;5.2;0.4;1.0;2.8;0.3;1.2;2.5;0.4;0.5;0.4;0.4;0.9;0.3;1.2;1.5;0.6;0.4;0.2;0.5;0.8;5.6;SF;0.536;0.429;0.071;0.4;0.043;0.107;0.029;0.014;1.2;0.033;1.077;0.077;0.42;4.8
4;Aaron Gordon;27.0;72.0;72.0;31.1;5.9;10.7;0.5;0.9;2.6;0.3;5.0;8.1;0.6;0.6;2.5;3.8;0.7;2.2;4.1;6.3;3.0;0.7;0.7;1.5;1.9;15.1;PF;0.179;0.662;0.166;0.486;0.096;0.203;0.023;0.023;2.0;0.088;1.411;0.355;0.446;18.2
5;Aaron Holiday;25.6;53.4;7.4;15.7;2.2;5.0;0.4;0.7;1.8;0.4;1.5;3.2;0.5;0.5;0.8;1.0;0.9;0.4;1.4;1.8;2.2;0.6;0.1;0.9;1.5;5.9;PG;0.356;0.508;0.136;0.376;0.14;0.115;0.038;0.006;2.444;0.034;1.18;0.2;0.404;6.7
6;Aaron Nesmith;23.0;65.7;36.7;21.2;3.1;6.8;0.4;1.4;3.7;0.4;1.7;3.1;0.6;0.5;1.2;1.4;0.8;0.7;2.4;3.1;1.1;0.7;0.4;0.8;2.6;8.7;SF;0.483;0.391;0.138;0.41;0.052;0.146;0.033;0.019;1.375;0.047;1.279;0.206;0.388;9.3
7;Aaron Wiggins;24.0;66.0;17.7;19.5;2.8;5.6;0.5;0.8;2.0;0.4;2.1;3.5;0.6;0.6;0.9;1.2;0.8;0.9;2.0;3.0;1.2;0.6;0.2;0.9;1.6;7.3;SG;0.329;0.575;0.123;0.374;0.062;0.154;0.031;0.01;1.333;0.044;1.304;0.214;0.36;8.2
8;Admiral Schofield;25.0;32.7;0.3;9.4;1.1;2.6;0.4;0.5;1.6;0.3;0.6;1.0;0.5;0.5;0.3;0.4;0.6;0.4;1.2;1.6;0.6;0.1;0.1;0.4;1.2;3.0;SF;0.5;0.4;0.1;0.319;0.064;0.17;0.011;0.011;1.5;0.049;1.154;0.154;0.338;3.4
9;Al Horford;36.0;65.7;55.0;28.8;3.6;7.4;0.5;1.8;4.3;0.4;1.8;3.1;0.6;0.6;0.6;0.7;0.8;1.4;5.4;6.8;3.0;0.6;1.1;0.7;1.7;9.5;C;0.568;0.379;0.063;0.33;0.104;0.236;0.021;0.038;4.286;0.104;1.284;0.095;0.292;16.4
10;Alec Burks;31.4;52.8;10.8;20.7;3.3;8.6;0.4;1.8;4.8;0.4;1.5;3.9;0.4;0.5;2.3;2.8;0.8;0.4;2.5;2.9;1.8;0.6;0.2;0.9;1.5;10.8;SG;0.5;0.278;0.213;0.522;0.087;0.14;0.029;0.01;2.0;0.055;1.256;0.326;0.518;9.6
